ANO4,TRIMESTRE,AGLOMERADO,PONDERA,CH04,CH06,NIVEL_ED,ESTADO,CAT_OCUP,PP04B_COD,PP04D_COD,P21,P47T
2016,2,15,198,1,55,6,1,1,5900.0,5002.0,50000,50000.0
2016,2,15,198,2,44,3,3,0,,,0,0.0
2016,2,15,198,2,17,3,3,0,,,0,0.0
2016,2,15,198,1,10,1,3,0,,,0,0.0
2016,2,15,198,2,43,5,3,0,,,0,0.0
2016,2,15,198,1,52,2,1,3,4000.0,72323.0,10000,10000.0
2016,2,15,198,1,9,1,4,0,,,0,0.0
2016,2,15,198,1,15,3,3,0,,,0,0.0
2016,2,15,198,2,59,2,3,0,,,0,0.0
2016,2,15,198,1,57,2,1,3,8402.0,49312.0,35000,35000.0
2016,2,15,154,1,3,7,4,0,,,0,0.0
2016,2,15,154,1,6,1,4,0,,,0,0.0
2016,2,15,154,2,-1,7,4,0,,,0,0.0
2016,2,15,154,2,37,6,1,3,8501.0,41312.0,7000,7000.0
2016,2,15,154,1,43,4,1,3,4903.0,34323.0,8000,8000.0
2016,2,15,154,2,53,2,3,0,,,0,3500.0
2016,2,15,154,2,40,2,3,0,,,0,6500.0
2016,2,15,154,1,18,3,3,0,,,0,0.0
2016,2,15,235,1,5,1,4,0,,,0,0.0
2016,2,15,235,1,3,7,4,0,,,0,0.0
2016,2,15,235,2,2,7,4,0,,,0,0.0
2016,2,15,235,2,39,2,3,0,,,0,4000.0
2016,2,15,235,1,36,1,1,3,4000.0,72313.0,5000,5000.0
2016,2,15,235,1,23,3,2,3,,,0,0.0
2016,2,15,235,1,21,2,1,2,8101.0,58113.0,3000,3000.0
2016,2,15,235,2,12,3,3,0,,,0,0.0
2016,2,15,235,1,9,1,4,0,,,0,0.0
2016,2,15,235,2,6,1,4,0,,,0,0.0
2016,2,15,235,1,2,7,4,0,,,0,0.0
2016,2,15,110,1,21,3,1,3,4000.0,72314.0,2800,2800.0
2016,2,15,190,2,40,6,1,3,8600.0,40312.0,8000,8000.0
2016,2,15,110,1,75,2,3,0,,,0,-9.0
2016,2,15,110,2,45,2,3,0,,,0,-9.0
2016,2,15,110,2,59,1,3,0,,,0,-9.0
2016,2,15,110,2,19,1,3,0,,,0,0.0
2016,2,15,228,2,72,7,3,0,,,0,4200.0
2016,2,15,228,1,64,2,1,3,8401.0,72312.0,8000,8000.0
2016,2,15,228,1,70,1,3,0,,,0,4000.0
2016,2,15,235,1,58,2,3,0,,,0,3500.0
2016,2,15,235,2,51,2,1,2,4804.0,30113.0,7000,7000.0
2016,2,15,235,1,26,5,1,3,9602.0,57314.0,3000,3000.0
2016,2,15,235,2,23,5,3,0,,,0,0.0
2016,2,15,235,1,21,4,1,2,8102.0,58113.0,3000,3000.0
2016,2,15,235,1,18,3,3,0,,,0,0.0
2016,2,15,235,1,24,3,1,3,4803.0,80313.0,9000,9000.0
2016,2,15,110,1,50,2,1,2,9602.0,57113.0,2000,-9.0
2016,2,15,110,1,28,4,1,2,4000.0,72113.0,2000,2000.0
2016,2,15,110,1,26,2,1,2,4000.0,72113.0,1800,1800.0
2016,2,15,110,1,18,5,3,0,,,0,0.0
2016,2,15,235,1,51,2,1,3,4000.0,72313.0,0,0.0
2016,2,15,235,2,45,2,3,0,,,0,5000.0
2016,2,15,235,2,16,3,3,0,,,0,0.0
2016,2,15,235,2,13,3,3,0,,,0,0.0
2016,2,15,235,1,10,1,3,0,,,0,0.0
2016,2,15,235,1,8,1,4,0,,,0,0.0
2016,2,15,154,2,17,3,3,0,,,0,0.0
2016,2,15,154,1,13,3,3,0,,,0,0.0
2016,2,15,154,2,9,1,4,0,,,0,0.0
2016,2,15,154,2,40,3,1,3,9700.0,55314.0,3500,4200.0
2016,2,15,154,1,29,3,2,3,,,0,0.0
2016,2,15,154,2,23,4,3,0,,,0,3300.0
2016,2,15,154,2,13,3,3,0,,,0,0.0
2016,2,15,154,1,-1,7,4,0,,,0,0.0
2016,2,15,167,2,82,1,3,0,,,0,4000.0
2016,2,15,142,1,33,4,1,1,4807.0,5002.0,4000,4000.0
2016,2,15,142,2,33,4,1,2,4807.0,30113.0,4000,4000.0
2016,2,15,209,1,63,3,1,1,4807.0,6001.0,-9,-9.0
2016,2,15,209,2,65,4,3,0,,,0,-9.0
2016,2,15,209,2,38,6,1,3,4807.0,30331.0,-9,-9.0
2016,2,15,209,1,33,5,3,0,,,0,0.0
2016,2,15,209,1,38,3,1,3,4807.0,30332.0,-9,-9.0
2016,2,15,209,2,9,1,4,0,,,0,0.0
2016,2,15,209,2,96,2,3,0,,,0,-9.0
2016,2,15,209,2,71,2,3,0,,,0,-9.0
2016,2,15,209,2,43,6,1,3,8501.0,41312.0,-9,-9.0
2016,2,15,209,1,44,3,1,2,102.0,61113.0,-9,-9.0
2016,2,15,142,1,21,4,3,0,,,0,0.0
2016,2,15,110,2,44,2,1,3,9700.0,55314.0,-9,-9.0
2016,2,15,110,2,20,2,3,0,,,0,-9.0
2016,2,15,110,2,12,3,3,0,,,0,0.0
2016,2,15,110,1,59,2,1,2,4000.0,72113.0,6000,6000.0
2016,2,15,110,2,52,2,3,0,,,0,-9.0
2016,2,15,110,2,9,1,4,0,,,0,0.0
2016,2,15,110,2,51,2,3,0,,,0,-9.0
2016,2,15,167,2,72,4,3,0,,,0,4500.0
2016,2,15,167,1,69,2,3,0,,,0,3800.0
2016,2,15,167,1,38,5,3,0,,,0,0.0
2016,2,15,198,2,15,3,3,0,,,0,0.0
2016,2,15,235,1,37,2,1,3,4000.0,72313.0,0,0.0
2016,2,15,235,2,26,5,3,0,,,0,700.0
2016,2,15,235,1,4,7,4,0,,,0,0.0
2016,2,15,228,2,33,3,3,0,,,0,4000.0
2016,2,15,228,1,30,4,1,3,4000.0,72313.0,6000,6000.0
2016,2,15,228,2,16,3,3,0,,,0,0.0
2016,2,15,228,1,15,3,3,0,,,0,0.0
2016,2,15,190,2,19,3,3,0,,,0,700.0
2016,2,15,190,2,9,1,4,0,,,0,0.0
2016,2,15,185,2,45,3,1,3,9700.0,55314.0,4800,7300.0
2016,2,15,185,2,23,4,1,3,9700.0,55314.0,3000,5700.0
2016,2,15,185,2,20,5,3,0,,,0,0.0
2016,2,15,235,1,1,7,4,0,,,0,0.0
2016,2,15,235,2,50,2,3,0,,,0,4500.0
2016,2,15,235,2,26,3,1,3,9700.0,55314.0,2500,2500.0
2016,2,15,235,1,20,3,2,3,,,0,0.0
2016,2,15,209,1,12,3,3,0,,,0,0.0
2016,2,15,209,1,8,1,4,0,,,0,0.0
2016,2,15,167,1,59,6,1,3,8501.0,41332.0,12000,12000.0
2016,2,15,167,2,49,6,1,3,8501.0,41332.0,16000,16000.0
2016,2,15,167,1,78,2,3,0,,,0,-9.0
2016,2,15,167,2,73,2,3,0,,,0,-9.0
2016,2,15,167,1,46,6,1,3,8401.0,10333.0,-9,-9.0
2016,2,15,92,1,71,2,3,0,,,0,4800.0
2016,2,15,228,2,12,3,3,0,,,0,0.0
2016,2,15,228,2,8,1,4,0,,,0,0.0
2016,2,15,228,1,-1,7,4,0,,,0,0.0
2016,2,15,228,1,78,1,3,0,,,0,4300.0
2016,2,15,192,1,64,1,3,0,,,0,3500.0
2016,2,15,154,1,59,1,3,0,,,0,3500.0
2016,2,15,167,2,56,2,1,3,8401.0,10333.0,-9,-9.0
2016,2,15,167,2,33,6,1,3,8600.0,40312.0,18000,18000.0
2016,2,15,167,1,19,3,3,0,,,0,0.0
2016,2,15,209,2,65,4,3,0,,,0,-9.0
2016,2,15,209,2,43,3,3,0,,,0,-9.0
2016,2,15,171,2,20,5,3,0,,,0,0.0
2016,2,15,171,2,65,6,1,3,8600.0,40312.0,-9,-9.0
2016,2,15,171,1,64,6,1,3,4000.0,72313.0,-9,-9.0
2016,2,15,171,1,33,6,1,3,4000.0,72311.0,-9,-9.0
2016,2,15,171,2,24,5,3,0,,,0,0.0
2016,2,15,171,2,-1,7,4,0,,,0,0.0
2016,2,15,142,1,54,3,3,0,,,0,-9.0
2016,2,15,185,2,18,4,3,0,,,0,0.0
2016,2,15,185,2,15,3,3,0,,,0,0.0
2016,2,15,185,1,14,3,3,0,,,0,0.0
2016,2,15,185,1,8,1,4,0,,,0,0.0
2016,2,15,185,2,5,7,4,0,,,0,0.0
2016,2,15,185,2,24,4,1,2,4808.0,30113.0,8000,8700.0
2016,2,15,185,1,23,4,1,2,4808.0,30113.0,7000,7000.0
2016,2,15,185,1,4,7,4,0,,,0,0.0
2016,2,15,154,2,57,2,3,0,,,0,3500.0
2016,2,15,154,2,26,6,1,3,8501.0,41312.0,6000,6000.0
2016,2,15,154,1,35,4,1,3,8102.0,56314.0,6500,6500.0
2016,2,15,154,2,37,4,1,3,9700.0,55314.0,4500,4500.0
2016,2,15,154,2,8,1,4,0,,,0,0.0
2016,2,15,235,2,18,3,3,0,,,0,0.0
2016,2,15,235,1,17,3,3,0,,,0,0.0
2016,2,15,235,2,9,1,4,0,,,0,0.0
2016,2,15,192,1,68,4,3,0,,,0,7000.0
2016,2,15,192,2,38,4,3,0,,,0,6000.0
2016,2,15,192,1,60,4,3,0,,,0,6000.0
2016,2,15,192,2,58,4,3,0,,,0,3300.0
2016,2,15,192,1,20,5,3,0,,,0,800.0
2016,2,15,192,2,50,2,3,0,,,0,8000.0
2016,2,15,192,1,17,3,3,0,,,0,0.0
2016,2,15,192,1,12,3,3,0,,,0,0.0
2016,2,15,192,2,39,4,3,0,,,0,5000.0
2016,2,15,192,1,15,3,3,0,,,0,0.0
2016,2,15,192,2,12,3,3,0,,,0,0.0
2016,2,15,192,1,63,4,1,1,103.0,5002.0,18000,18000.0
2016,2,15,92,1,47,6,1,3,8501.0,41312.0,7000,7000.0
2016,2,15,92,1,37,2,1,3,4000.0,72313.0,9000,9000.0
2016,2,15,92,1,62,2,3,0,,,0,12000.0
2016,2,15,92,2,65,1,3,0,,,0,4000.0
2016,2,15,92,1,38,6,1,2,9501.0,82132.0,2500,2500.0
2016,2,15,92,1,33,3,1,3,8101.0,56314.0,3000,3000.0
2016,2,15,92,2,30,4,3,0,,,0,0.0
2016,2,15,92,2,29,4,3,0,,,0,0.0
2016,2,15,190,1,36,4,1,2,4000.0,72113.0,8200,8200.0
2016,2,15,190,2,35,5,1,2,9609.0,40112.0,3000,3000.0
2016,2,15,235,1,4,7,4,0,,,0,0.0
2016,2,15,181,1,53,2,1,3,4000.0,72314.0,3700,3700.0
2016,2,15,181,1,63,4,1,3,8401.0,10313.0,-9,-9.0
2016,2,15,181,2,61,4,3,0,,,0,0.0
2016,2,15,181,2,22,5,3,0,,,0,0.0
2016,2,15,181,1,48,2,1,2,4904.0,34123.0,4900,4900.0
2016,2,15,181,2,48,4,1,3,9700.0,55314.0,3750,3750.0
2016,2,15,142,2,51,4,1,2,4803.0,30113.0,-9,-9.0
2016,2,15,142,2,14,3,3,0,,,0,0.0
2016,2,15,142,2,14,5,3,0,,,0,0.0
2016,2,15,142,1,24,2,1,3,4803.0,30313.0,-9,-9.0
2016,2,15,92,1,73,3,3,0,,,0,7000.0
2016,2,15,92,2,67,1,1,3,8501.0,56313.0,9000,9000.0
2016,2,15,92,2,31,6,1,3,8401.0,42332.0,9500,9500.0
2016,2,15,140,2,85,2,3,0,,,0,4500.0
2016,2,15,140,1,56,3,3,0,,,0,3300.0
2016,2,15,140,2,52,2,3,0,,,0,3500.0
2016,2,15,140,2,28,4,1,3,8401.0,10333.0,6000,6000.0
2016,2,15,167,2,33,6,1,3,6100.0,10333.0,-9,-9.0
2016,2,15,167,1,30,5,1,3,8403.0,10333.0,-9,-9.0
2016,2,15,167,1,40,4,1,3,8401.0,10313.0,9000,9000.0
2016,2,15,167,2,40,3,3,0,,,0,0.0
2016,2,15,167,1,13,3,3,0,,,0,0.0
