ANO4,TRIMESTRE,ipc_nea,ipc_patagonia,factor_nea,factor_patagonia
2016,4,100.0,100.0,1.0,1.0
2017,1,103.70746666666666,104.4529,1.0370746666666666,1.044529
2017,2,110.24023333333332,110.28216666666667,1.1024023333333333,1.1028216666666666
2017,3,114.74173333333333,115.15886666666667,1.1474173333333333,1.1515886666666666
2017,4,119.9581,120.86916666666667,1.199581,1.2086916666666667
2018,1,127.46496666666667,129.68880000000001,1.2746496666666667,1.296888
2018,2,137.5316,140.19320000000002,1.375316,1.4019320000000002
2018,3,153.9385,155.77626666666666,1.539385,1.5577626666666666
2018,4,176.15003333333334,180.30769999999998,1.7615003333333334,1.8030769999999998
2019,1,195.96263333333332,198.19533333333334,1.9596263333333332,1.9819533333333335
2019,2,218.75936666666666,219.9458,2.1875936666666664,2.199458
2019,3,240.9294,242.97966666666665,2.409294,2.4297966666666664
2019,4,273.77023333333335,274.7742333333333,2.7377023333333335,2.747742333333333
2020,1,301.44969999999995,299.667,3.0144969999999995,2.99667
2020,2,323.19436666666667,313.75603333333333,3.2319436666666665,3.1375603333333335
2020,3,346.33376666666663,337.0514,3.4633376666666664,3.370514
2020,4,386.3269666666667,367.9675,3.863269666666667,3.6796749999999996
2021,1,438.0996666666667,410.10740000000004,4.380996666666666,4.1010740000000006
2021,2,486.4366333333333,462.2622666666667,4.864366333333333,4.6226226666666665
2021,3,529.9534,511.72150000000005,5.2995339999999995,5.117215000000001
2021,4,583.5421,558.9842666666667,5.835421,5.589842666666667
2022,1,663.6101333333334,629.7642999999999,6.636101333333333,6.297642999999999
2022,2,787.4952666666667,745.4068333333333,7.874952666666667,7.454068333333334
2022,3,954.8906000000001,899.7004000000001,9.548906,8.997004
2022,4,1135.4817,1066.9856333333335,11.354817,10.669856333333335
2023,1,1348.2551666666666,1255.9618,13.482551666666666,12.559618
2023,2,1669.3433666666667,1550.1082666666669,16.693433666666667,15.501082666666669
2023,3,2164.3966333333333,2022.0432,21.64396633333333,20.220432000000002
2023,4,3124.4946999999997,2887.8278000000005,31.244946999999996,28.878278000000005
2024,1,5038.7329,4751.5108666666665,50.387329,47.51510866666666
2024,2,6135.440633333333,5956.046266666667,61.35440633333333,59.56046266666667
2024,3,6952.2100666666665,6781.762466666667,69.52210066666666,67.81762466666667
2024,4,7546.681366666667,7504.4963333333335,75.46681366666667,75.04496333333333
2025,1,8114.406,8169.660199999999,81.14406,81.696602
2025,2,8658.387033333333,8799.661033333332,86.58387033333332,87.99661033333332
2025,3,9059.317633333334,9335.1984,90.59317633333335,93.35198399999999
2025,4,9676.7688,10011.406266666667,96.76768799999999,100.11406266666667
